"KUMI_CD","LINE_CD","LINE_SUB_CD","KANRIBAN_CD","LINE_DATE","TYOKU_KBN","JIKANWARI_KBN","HINBAN_CD","PLAN_PRODUCT_CNT","PRODUCT_CNT","WORKING_HOURS","CYCLE_TIME","UPDATE_TIME"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","01","30610ECB010","50","50","0","66","2024-03-01T11:39:13.066000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","02","30610ECB010","54","54","0","66","2024-03-01T13:35:22.584000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","03","30610ECB010","44","44","0","66","2024-03-01T11:39:31.667000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","04","30610ECB010","54","54","0","66","2024-03-01T13:35:16.448000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","05","30610ECB010","0","0","0","66","2024-03-01T13:35:29.703000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","06","30610ECB010","41","41","0","66","2024-03-01T14:53:49.313000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","07","30610ECB010","53","53","0","66","2024-03-01T17:09:55.725000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","08","30610ECB010","45","45","0","66","2024-03-01T18:09:30.827000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","09","30610ECB010","49","49","0","66","2024-03-01T18:57:18.538000"
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-01T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","02","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","03","30610ECB010","44","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","04","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","06","30610ECB010","41","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","07","30610ECB010","53","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","08","30610ECB010","45","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","09","30610ECB010","49","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-02T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","02","30610ECB010","50","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","03","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","04","30610ECB010","44","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","05","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","06","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","07","30610ECB010","23","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","08","30610ECB010","53","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","09","30610ECB010","45","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","10","30610ECB010","40","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-03T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","02","30610ECB010","50","28","0","66","2024-03-04T22:39:39.750000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","03","30610ECB010","54","38","0","66","2024-03-05T06:47:08.291000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","04","30610ECB010","44","44","0","66","2024-03-05T01:01:04.213000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","05","30610ECB010","54","54","0","66","2024-03-05T02:56:24.312000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","06","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","07","30610ECB010","50","50","0","66","2024-03-05T04:02:12.576000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","08","30610ECB010","53","53","0","66","2024-03-05T05:16:41.828000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","09","30610ECB010","45","45","0","66","2024-03-05T06:00:15.125000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","10","30610ECB010","40","40","0","66","2024-03-05T06:47:01.964000"
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-04T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","02","30610ECB010","50","49","0","66","2024-03-06T07:03:36.355000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","03","30610ECB010","54","54","0","66","2024-03-06T07:03:30.067000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","04","30610ECB010","44","44","0","66","2024-03-06T01:52:24"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","05","30610ECB010","54","54","0","66","2024-03-06T01:59:55.367000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","06","30610ECB010","0","0","0","66","2024-03-06T06:25:37.713000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","07","30610ECB010","50","50","0","66","2024-03-06T07:04:31.436000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","08","30610ECB010","53","51","0","66","2024-03-06T07:04:40.542000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","09","30610ECB010","45","45","0","66","2024-03-06T07:02:12.446000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","10","30610ECB010","40","40","0","66","2024-03-06T07:02:19.697000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","11","30610ECB010","0","0","0","66","2024-03-06T07:02:28.495000"
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-05T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","02","30610ECB010","50","50","0","66","2024-03-06T22:59:29.989000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","03","30610ECB010","54","53","0","66","2024-03-07T04:01:23.862000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","04","30610ECB010","44","43","0","66","2024-03-07T00:59:24.636000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","05","30610ECB010","54","54","0","66","2024-03-07T01:58:49.305000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","06","30610ECB010","0","0","0","66","2024-03-07T04:01:13.360000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","07","30610ECB010","50","50","0","66","2024-03-07T06:50:21.067000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","08","30610ECB010","53","52","0","66","2024-03-07T06:50:13.970000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","09","30610ECB010","45","45","0","66","2024-03-07T06:42:31.506000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","10","30610ECB010","40","40","0","66","2024-03-07T06:44:55.067000"
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-06T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","02","30610ECB010","50","47","0","66","2024-03-07T22:59:50.054000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","03","30610ECB010","54","53","0","66","2024-03-08T00:10:39.104000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","04","30610ECB010","44","44","0","66","2024-03-08T01:03:36.927000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","05","30610ECB010","54","54","0","66","2024-03-08T04:08:32.106000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","06","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","07","30610ECB010","50","50","0","66","2024-03-08T04:08:25.642000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","08","30610ECB010","53","53","0","66","2024-03-08T04:59:45.678000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","09","30610ECB010","45","45","0","66","2024-03-08T06:59:26.627000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","10","30610ECB010","40","39","0","66","2024-03-08T06:59:43.728000"
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-03-07T00:00:00","2","12","30610ECB010","0","0","0","66",""
