"KUMI_CD","LINE_CD","LINE_SUB_CD","KANRIBAN_CD","LINE_DATE","TYOKU_KBN","JIKANWARI_KBN","HINBAN_CD","PLAN_PRODUCT_CNT","PRODUCT_CNT","WORKING_HOURS","CYCLE_TIME","UPDATE_TIME"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","01","30610ECB010","0","0","0","65","2024-07-01T10:50:29.083000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","02","30610ECB010","54","54","0","65","2024-07-01T10:50:09.675000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","03","30610ECB010","46","40","0","65","2024-07-01T11:29:26.980000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","04","30610ECB010","54","53","0","65","2024-07-01T16:32:19.894000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","05","30610ECB010","0","0","0","65","2024-07-01T12:50:14.918000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","06","30610ECB010","42","42","0","65","2024-07-02T15:20:58.209000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","07","30610ECB010","54","54","0","65","2024-07-01T15:22:37.311000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","08","30610ECB010","45","45","0","65","2024-07-01T16:32:13.086000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","09","30610ECB010","50","50","0","65","2024-07-01T17:27:40.681000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","10","30610ECB010","0","0","0","65","2024-07-01T09:59:52.690000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","11","30610ECB010","0","0","0","65","2024-07-01T09:59:52.690000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","12","30610ECB010","0","0","0","65","2024-07-01T09:59:52.690000"
"NH12","AS2610","A","M01","2024-07-01T00:00:00","1","13","30610ECB010","0","0","0","65","2024-07-01T09:59:52.690000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","01","30610ECB010","51","49","0","65","2024-07-02T16:24:18.495000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","02","30610ECB010","54","54","0","65","2024-07-02T18:19:23.064000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","03","30610ECB010","45","33","0","65","2024-07-02T17:04:27.437000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","04","30610ECB010","55","46","0","65","2024-07-02T16:55:13.660000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","05","30610ECB010","0","0","0","65","2024-07-02T14:29:12.029000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","06","30610ECB010","41","35","0","65","2024-07-02T14:15:00.943000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","07","30610ECB010","55","55","0","65","2024-07-02T16:23:21.355000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","08","30610ECB010","45","43","0","65","2024-07-02T16:24:09.033000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","09","30610ECB010","50","50","0","65","2024-07-02T17:15:50.785000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","10","30610ECB010","0","0","0","65","2024-07-02T18:19:17.377000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","11","30610ECB010","0","0","0","65","2024-07-02T09:08:48.327000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","12","30610ECB010","0","0","0","65","2024-07-02T09:08:48.327000"
"NH12","AS2610","A","M01","2024-07-02T00:00:00","1","13","30610ECB010","0","0","0","65","2024-07-02T09:08:48.327000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","01","30610ECB010","51","51","0","65","2024-07-03T19:01:18.938000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","02","30610ECB010","54","54","0","65","2024-07-03T17:25:30.996000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","03","30610ECB010","45","25","0","65","2024-07-03T18:08:25.433000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","04","30610ECB010","55","28","0","65","2024-07-03T18:08:31.598000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","05","30610ECB010","0","0","0","65","2024-07-03T17:25:30.996000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","06","30610ECB010","0","0","0","65","2024-07-03T17:25:30.996000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","07","30610ECB010","41","41","0","65","2024-07-03T17:26:28.694000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","08","30610ECB010","45","45","0","65","2024-07-03T17:26:24.519000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","09","30610ECB010","50","50","0","65","2024-07-03T17:26:15.791000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","10","30610ECB010","0","0","0","65","2024-07-03T17:54:09.363000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","11","30610ECB010","0","0","0","65","2024-07-03T17:25:30.996000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","12","30610ECB010","0","0","0","65","2024-07-03T17:25:30.996000"
"NH12","AS2610","A","M01","2024-07-03T00:00:00","1","13","30610ECB010","0","0","0","65","2024-07-03T17:25:30.996000"
"NH12","AS2610","A","M01","2024-07-04T00:00:00","1","01","30610ECB010","51","37","0","65","2024-07-04T13:28:18.230000"
"NH12","AS2610","A","M01","2024-07-04T00:00:00","1","02","30610ECB010","54","54","0","65","2024-07-04T13:28:18.230000"
"NH12","AS2610","A","M01","2024-07-04T00:00:00","1","03","30610ECB010","45","45","0","65","2024-07-04T13:29:03.600000"
"NH12","AS2610","A","M01","2024-07-04T00:00:00","1","04","30610ECB010","55","50","0","65","2024-07-04T18:23:39.584000"
