"KUMI_CD","LINE_CD","LINE_SUB_CD","KANRIBAN_CD","LINE_DATE","TYOKU_KBN","JIKANWARI_KBN","HINBAN_CD","PLAN_PRODUCT_CNT","PRODUCT_CNT","WORKING_HOURS","CYCLE_TIME","UPDATE_TIME"
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","02","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","03","30610ECB010","44","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","04","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","06","30610ECB010","13","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","07","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","08","30610ECB010","45","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","09","30610ECB010","49","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-01T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","02","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","03","30610ECB010","44","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","04","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","06","30610ECB010","13","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","07","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","08","30610ECB010","45","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","09","30610ECB010","49","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-02T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","02","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","03","30610ECB010","44","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","04","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","06","30610ECB010","13","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","07","30610ECB010","54","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","08","30610ECB010","45","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","09","30610ECB010","49","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-03T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-05-04T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH11","AS2610","A","M01","2024-05-04T00:00:00","1","02","30610ECB010","54","0","0","66",""
