"KUMI_CD","LINE_CD","LINE_SUB_CD","KANRIBAN_CD","LINE_DATE","TYOKU_KBN","JIKANWARI_KBN","HINBAN_CD","PLAN_PRODUCT_CNT","PRODUCT_CNT","WORKING_HOURS","CYCLE_TIME","UPDATE_TIME"
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","02","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","03","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","04","30610ECB010","44","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","05","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","06","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","07","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","08","30610ECB010","53","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","09","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","10","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","11","30610ECB010","44","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","12","30610ECB010","18","0","0","66",""
"NH12","AS2610","A","M01","2024-06-01T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","02","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","03","30610ECB010","44","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","04","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","06","30610ECB010","13","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","07","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","08","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","09","30610ECB010","49","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-02T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","01","30610ECB010","50","50","0","65.5","2024-06-03T09:29:31.087000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","02","30610ECB010","54","54","0","65.5","2024-06-03T10:39:15.095000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","03","30610ECB010","45","45","0","65.5","2024-06-03T19:27:24.375000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","04","30610ECB010","54","54","0","65.5","2024-06-03T12:32:06.278000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","05","30610ECB010","0","0","0","65.5","2024-06-03T12:32:11.889000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","06","30610ECB010","42","42","0","65.5","2024-06-03T19:27:17.560000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","07","30610ECB010","54","54","0","65.5","2024-06-03T16:47:44.729000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","08","30610ECB010","45","45","0","65.5","2024-06-03T16:47:39.006000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","09","30610ECB010","54","54","0","65.5","2024-06-03T17:28:25.397000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","10","30610ECB010","54","54","0","65.5","2024-06-03T18:32:13.806000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","11","30610ECB010","49","49","0","65.5","2024-06-03T19:27:07.392000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","12","30610ECB010","0","0","0","65.5","2024-06-03T08:35:36.943000"
"NH12","AS2610","A","M01","2024-06-03T00:00:00","1","13","30610ECB010","0","0","0","65.5","2024-06-03T08:35:36.943000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","01","30610ECB010","50","0","0","65.5","2024-06-04T14:50:11.702000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","02","30610ECB010","54","0","0","65.5","2024-06-04T14:50:11.702000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","03","30610ECB010","45","0","0","65.5","2024-06-04T14:50:11.702000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","04","30610ECB010","54","54","0","65.5","2024-06-04T14:50:11.702000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","05","30610ECB010","0","0","0","65.5","2024-06-04T14:50:11.702000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","06","30610ECB010","42","42","0","65.5","2024-06-04T14:50:26.390000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","07","30610ECB010","54","54","0","65.5","2024-06-04T15:21:48.546000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","08","30610ECB010","45","45","0","65.5","2024-06-04T16:19:38.005000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","09","30610ECB010","54","54","0","65.5","2024-06-04T17:19:50.325000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","10","30610ECB010","54","54","0","65.5","2024-06-04T18:49:45.132000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","11","30610ECB010","54","48","0","65.5","2024-06-04T20:30:02.646000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","12","30610ECB010","35","35","0","65.5","2024-06-04T20:29:56.115000"
"NH12","AS2610","A","M01","2024-06-04T00:00:00","1","13","30610ECB010","0","0","0","65.5","2024-06-04T14:50:11.702000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","01","30610ECB010","50","50","0","65.5","2024-06-05T09:29:44.568000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","02","30610ECB010","54","54","0","65.5","2024-06-05T11:12:29.888000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","03","30610ECB010","45","45","0","65.5","2024-06-05T16:13:59.729000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","04","30610ECB010","54","0","0","65.5","2024-06-05T15:21:16.665000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","05","30610ECB010","0","0","0","65.5","2024-06-05T09:29:44.568000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","06","30610ECB010","0","0","0","65.5","2024-06-05T15:20:54.514000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","07","30610ECB010","41","34","0","65.5","2024-06-05T19:37:28.694000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","08","30610ECB010","45","45","0","65.5","2024-06-05T16:36:42.227000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","09","30610ECB010","54","54","0","65.5","2024-06-05T17:27:45.031000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","10","30610ECB010","49","49","0","65.5","2024-06-05T18:38:17.354000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","11","30610ECB010","49","26","0","65.5","2024-06-05T19:03:46.405000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","12","30610ECB010","0","0","0","65.5","2024-06-05T16:15:03.879000"
"NH12","AS2610","A","M01","2024-06-05T00:00:00","1","13","30610ECB010","0","0","0","65.5","2024-06-05T09:30:19.744000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","01","30610ECB010","50","50","0","65.5","2024-06-06T11:01:43.200000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","02","30610ECB010","54","54","0","65.5","2024-06-06T11:01:43.200000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","03","30610ECB010","45","43","0","65.5","2024-06-06T11:28:47.510000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","04","30610ECB010","54","52","0","65.5","2024-06-06T19:28:23.411000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","05","30610ECB010","0","0","0","65.5","2024-06-06T13:46:37.311000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","06","30610ECB010","42","42","0","65.5","2024-06-06T19:27:35.110000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","07","30610ECB010","54","53","0","65.5","2024-06-06T19:29:23.436000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","08","30610ECB010","45","45","0","65.5","2024-06-06T16:19:31.394000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","09","30610ECB010","54","54","0","65.5","2024-06-06T17:20:02.230000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","10","30610ECB010","54","54","0","65.5","2024-06-06T19:27:00.993000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","11","30610ECB010","49","49","0","65.5","2024-06-06T19:26:53.833000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","12","30610ECB010","0","0","0","65.5","2024-06-06T11:02:26.432000"
"NH12","AS2610","A","M01","2024-06-06T00:00:00","1","13","30610ECB010","0","0","0","65.5","2024-06-06T11:02:26.432000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","01","30610ECB010","50","50","0","65.5","2024-06-07T09:29:48.521000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","02","30610ECB010","54","54","0","65.5","2024-06-07T12:37:44.766000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","03","30610ECB010","45","45","0","65.5","2024-06-07T12:37:39.434000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","04","30610ECB010","54","54","0","65.5","2024-06-07T12:29:51.392000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","05","30610ECB010","0","0","0","65.5","2024-06-07T12:37:32.356000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","06","30610ECB010","42","42","0","65.5","2024-06-07T14:41:54.782000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","07","30610ECB010","54","7","0","65.5","2024-06-07T18:45:11.901000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","08","30610ECB010","45","0","0","65.5","2024-06-07T09:22:47.512000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","09","30610ECB010","54","0","0","65.5","2024-06-07T09:22:47.512000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","10","30610ECB010","49","0","0","65.5","2024-06-07T18:42:16.714000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","11","30610ECB010","0","0","0","65.5","2024-06-07T18:42:16.714000"
"NH12","AS2610","A","M01","2024-06-07T00:00:00","1","12","30610ECB010","0","0","0","65.5","2024-06-07T09:22:47.512000"
