"KUMI_CD","LINE_CD","LINE_SUB_CD","KANRIBAN_CD","LINE_DATE","TYOKU_KBN","JIKANWARI_KBN","HINBAN_CD","PLAN_PRODUCT_CNT","PRODUCT_CNT","WORKING_HOURS","CYCLE_TIME","UPDATE_TIME"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","01","30610ECB010","0","0","0","66","2024-04-01T21:29:26.792000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","02","30610ECB010","50","50","0","66","2024-04-01T23:56:54.693000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","03","30610ECB010","54","54","0","66","2024-04-01T23:59:22.314000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","04","30610ECB010","44","44","0","66","2024-04-02T01:09:27.293000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","05","30610ECB010","54","54","0","66","2024-04-02T03:05:01.380000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","06","30610ECB010","0","0","0","66","2024-04-02T03:05:06.033000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","07","30610ECB010","50","50","0","66","2024-04-02T04:10:29.159000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","08","30610ECB010","53","53","0","66","2024-04-02T04:59:03.775000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","09","30610ECB010","45","45","0","66","2024-04-02T06:35:49.216000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","10","30610ECB010","40","40","0","66","2024-04-02T06:43:02.965000"
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-04-01T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","02","30610ECB010","50","50","0","66","2024-04-02T22:59:17.483000"
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","03","30610ECB010","54","54","0","66","2024-04-03T00:12:09.229000"
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","04","30610ECB010","44","44","0","66","2024-04-03T06:40:09.364000"
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","05","30610ECB010","54","54","0","66","2024-04-03T01:59:07.318000"
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","06","30610ECB010","0","0","0","66","2024-04-03T04:02:29.991000"
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","07","30610ECB010","50","50","0","66","2024-04-03T04:02:35.556000"
"NH11","AS2610","A","M01","2024-04-02T00:00:00","2","08","30610ECB010","53","53","0","66","2024-04-03T05:08:37.408000"
