"KUMI_CD","LINE_CD","LINE_SUB_CD","KANRIBAN_CD","LINE_DATE","TYOKU_KBN","JIKANWARI_KBN","HINBAN_CD","PLAN_PRODUCT_CNT","PRODUCT_CNT","WORKING_HOURS","CYCLE_TIME","UPDATE_TIME"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","02","30610ECB010","50","50","0","66","2024-02-01T23:00:38.821000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","03","30610ECB010","54","54","0","66","2024-02-01T23:59:33.483000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","04","30610ECB010","44","44","0","66","2024-02-02T01:37:53.071000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","05","30610ECB010","54","54","0","66","2024-02-02T02:50:45.212000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","06","30610ECB010","0","0","0","66","2024-02-02T02:50:55.770000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","07","30610ECB010","50","50","0","66","2024-02-02T04:00:50.705000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","08","30610ECB010","53","53","0","66","2024-02-02T04:59:01.820000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","09","30610ECB010","45","45","0","66","2024-02-02T06:31:15.127000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","10","30610ECB010","40","40","0","66","2024-02-02T06:41:38.194000"
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-01T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","02","30610ECB010","50","50","0","66","2024-02-02T22:59:11.257000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","03","30610ECB010","54","54","0","66","2024-02-03T00:11:46.105000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","04","30610ECB010","44","44","0","66","2024-02-03T01:09:26.242000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","05","30610ECB010","54","54","0","66","2024-02-03T02:00:42.054000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","06","30610ECB010","0","0","0","66","2024-02-03T06:50:31.546000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","07","30610ECB010","50","50","0","66","2024-02-03T03:59:47.881000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","08","30610ECB010","53","53","0","66","2024-02-03T04:58:56.079000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","09","30610ECB010","45","45","0","66","2024-02-03T05:59:01.446000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","10","30610ECB010","40","40","0","66","2024-02-03T06:50:37.332000"
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-02T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","02","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","03","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","04","30610ECB010","44","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","05","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","06","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","07","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","08","30610ECB010","53","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","09","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","10","30610ECB010","40","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-03T00:00:00","2","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","02","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","03","30610ECB010","44","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","04","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","06","30610ECB010","13","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","07","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","08","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","09","30610ECB010","49","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-04T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","01","30610ECB010","50","50","0","66","2024-02-05T09:30:29.915000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","02","30610ECB010","54","54","0","66","2024-02-05T10:30:04.167000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","03","30610ECB010","44","44","0","66","2024-02-05T12:08:49.942000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","04","30610ECB010","54","54","0","66","2024-02-05T13:17:06.235000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","05","30610ECB010","0","0","0","66","2024-02-05T13:19:42.155000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","06","30610ECB010","41","41","0","66","2024-02-05T14:22:57.798000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","07","30610ECB010","53","51","0","66","2024-02-05T15:19:21.455000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","08","30610ECB010","45","23","0","66","2024-02-05T20:09:25.800000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","09","30610ECB010","49","49","0","66","2024-02-05T17:23:31.918000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","10","30610ECB010","0","0","0","66","2024-02-05T17:23:23.378000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","12","30610ECB010","0","0","0","66","2024-02-05T20:09:04.579000"
"NH12","AS2610","A","M01","2024-02-05T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","01","30610ECB010","50","50","0","66","2024-02-06T09:29:44.416000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","02","30610ECB010","54","54","0","66","2024-02-06T10:39:01.638000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","03","30610ECB010","44","44","0","66","2024-02-06T17:19:19.276000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","04","30610ECB010","54","54","0","66","2024-02-06T12:30:33.116000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","05","30610ECB010","0","0","0","66","2024-02-06T12:33:17.538000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","06","30610ECB010","41","41","0","66","2024-02-06T15:43:57.324000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","07","30610ECB010","53","53","0","66","2024-02-06T15:43:51.080000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","08","30610ECB010","45","45","0","66","2024-02-06T17:19:14.443000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","09","30610ECB010","49","49","0","66","2024-02-06T17:19:09.472000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","11","30610ECB010","0","0","0","66","2024-02-06T19:19:26.028000"
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-06T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","01","30610ECB010","50","50","0","66","2024-02-07T10:31:55.623000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","02","30610ECB010","54","54","0","66","2024-02-07T15:22:09.117000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","03","30610ECB010","44","44","0","66","2024-02-07T11:29:33.615000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","04","30610ECB010","54","54","0","66","2024-02-07T12:37:14.718000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","06","30610ECB010","0","0","0","66","2024-02-07T12:37:25.321000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","07","30610ECB010","40","40","0","66","2024-02-07T15:22:16.338000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","08","30610ECB010","44","44","0","66","2024-02-07T16:19:43.549000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","09","30610ECB010","54","54","0","66","2024-02-07T17:23:06.249000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","10","30610ECB010","49","49","0","66","2024-02-07T18:35:01.456000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","11","30610ECB010","0","0","0","66","2024-02-07T19:32:34.330000"
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-07T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","01","30610ECB010","50","50","0","66","2024-02-08T09:45:20.586000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","02","30610ECB010","54","54","0","66","2024-02-08T10:38:47.159000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","03","30610ECB010","44","44","0","66","2024-02-08T11:37:39.741000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","04","30610ECB010","54","54","0","66","2024-02-08T12:29:35.899000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","05","30610ECB010","0","0","0","66","2024-02-08T14:23:50.362000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","06","30610ECB010","41","41","0","66","2024-02-08T14:23:45.034000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","07","30610ECB010","53","53","0","66","2024-02-08T15:28:56.269000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","08","30610ECB010","45","45","0","66","2024-02-08T16:19:33.458000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","09","30610ECB010","49","49","0","66","2024-02-08T17:23:27.841000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","10","30610ECB010","0","0","0","66","2024-02-08T14:10:58.823000"
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-08T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","01","30610ECB010","50","50","0","66","2024-02-09T09:30:14.736000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","02","30610ECB010","54","54","0","66","2024-02-09T10:30:27.051000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","03","30610ECB010","44","44","0","66","2024-02-09T11:28:54.569000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","04","30610ECB010","54","54","0","66","2024-02-09T12:29:31.293000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","05","30610ECB010","0","0","0","66","2024-02-09T14:22:11.668000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","06","30610ECB010","41","41","0","66","2024-02-09T14:22:28.831000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","07","30610ECB010","53","53","0","66","2024-02-09T15:26:56.965000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","08","30610ECB010","45","45","0","66","2024-02-09T16:19:36.578000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","09","30610ECB010","49","49","0","66","2024-02-09T17:14:39.312000"
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-09T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","01","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","02","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","03","30610ECB010","44","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","04","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","05","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","06","30610ECB010","41","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","07","30610ECB010","53","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","08","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","09","30610ECB010","49","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","10","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","12","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-10T00:00:00","1","13","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","01","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","02","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","03","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","04","30610ECB010","44","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","05","30610ECB010","54","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","06","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","07","30610ECB010","50","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","08","30610ECB010","53","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","09","30610ECB010","45","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","10","30610ECB010","40","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","11","30610ECB010","0","0","0","66",""
"NH12","AS2610","A","M01","2024-02-11T00:00:00","2","12","30610ECB010","0","1","0","66","2024-02-12T08:02:24.832000"
