品番,受入場所,品名,収容数,サイクル間隔,サイクル回数,サイクル情報,不良率
35257ECA010    ,1Y,ﾌﾟﾚｰﾄ ｵｲﾙ ｶﾞｲﾄﾞ               ,50,1,1,1,00
35257ECA030    ,1Y,ﾌﾟﾚｰﾄ ｵｲﾙ ｶﾞｲﾄﾞ               ,60,1,2,5,00
35257ECA030    ,1Y,ﾌﾟﾚｰﾄ ｵｲﾙ ｶﾞｲﾄﾞ               ,60,1,1,1,00
35285ECA010    ,1Y,ｸﾗﾝﾌﾟ ｿﾚﾉｲﾄﾞ                  ,500,1,1,1,00
35300ECB010    ,1Y,ﾃﾞﾝﾄﾞｳｵｲﾙﾎﾟﾝﾌﾟ                ,12,1,4,8,00
35312ECB010    ,1Y,"ｶﾊﾞｰS/A,T/MO/P                ",63,1,1,1,00
35312ECB010    ,1Y,"ｶﾊﾞｰS/A,T/M O/P               ",63,1,1,1,00
35352ECB010    ,1Y,"ﾛｰﾀｰ,T/MO/Pﾄﾞﾘﾌﾞﾝ             ",504,1,1,1,00
3539450A010    ,1Y,ﾏｸﾞﾈﾂﾄ                        ,2000,1,1,1,00
35409ECA020    ,1Y,ｽﾌﾟﾘﾝｸﾞ S/A ﾃﾞｨﾃﾝﾄ            ,150,1,1,2,00
35409ECB010    ,1Y,ｽﾌﾟﾘﾝｸﾞS/Aﾃﾞｨﾃﾝﾄ              ,200,1,1,2,00
35441ECB010    ,1Y,ｽﾄﾚｰﾅｰｵｲﾙ                     ,96,1,1,2,00
35441TFA010    ,1Y,ｽﾄﾚｰﾅｰｵｲﾙ                     ,100,1,1,2,00
3548255A010    ,1Y,ｸﾗﾝﾌﾟｾﾝｻ-                     ,300,1,1,1,00
35482TFA010    ,1Y,ｸﾗﾝﾌﾟｾﾝｻ-                     ,1000,1,1,1,00
35501ECA020    ,1Y,"ﾛｯﾄﾞS/A,ﾊﾟｰｷﾝｸﾞ ﾛｯｸ           ",100,1,1,1,00
35501ECA030    ,1Y,"ﾛｯﾄﾞS/A,ﾊﾟｰｷﾝｸﾞ ﾛｯｸ           ",150,1,1,1,00
35501ECB010    ,1Y,"ﾛｯﾄﾞS/A,ﾊﾟｰｷﾝｸﾞﾛｯｸ            ",100,1,1,1,00
35505ECA020    ,1Y,ﾚﾊﾞｰ S/A ﾊﾟｰｷﾝｸﾞ ﾛｯｸ          ,60,1,2,2,00
35505ECB010    ,1Y,ﾚﾊﾞｰS/Aﾊﾟｰｷﾝｸﾞﾛｯｸ             ,24,1,2,2,00
35556ECB010    ,1Y,ｼｬﾌﾄﾊﾟｰｷﾝｸﾞﾛｯｸﾎﾟｰﾙ            ,100,1,2,3,00
35557ECA020    ,1Y,ﾎﾟｰﾙ ﾊﾟｰｷﾝｸﾞ ﾛｯｸ              ,56,1,2,4,00
35557ECB010    ,1Y,ﾎﾟｰﾙﾊﾟｰｷﾝｸﾞﾛｯｸ                ,46,1,2,4,00
35561ECA020    ,1Y,"ｼｬﾌﾄ,ﾊﾟｰｷﾝｸﾞ ﾛｯｸ,NO.1         ",100,1,2,4,00
355806GA020    ,1Y,"ACTUATOR ASSY, SHIFT CONTROL  ",6,1,4,8,00
35580ECB010    ,1Y,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄｺﾝﾄﾛｰﾙ         ",6,1,4,8,00
35580ECB011    ,1Y,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ        ",6,1,4,8,00
35580ECB020    ,1Y,"ｱｷｭｴｰﾀｰASSY,ｼﾌﾄ ｺﾝﾄﾛｰﾙ        ",6,1,4,8,00
35595ECA010    ,1Y,ﾌﾞﾗｹｯﾄ                        ,70,1,1,1,00
35595ECB010    ,1Y,ﾌﾞﾗｹｯﾄ                        ,40,1,1,1,00
3559850A010    ,1Y,ﾋﾟﾝS/Aﾊﾟｰｷﾝｸﾞﾛｯｸ              ,100,1,2,3,00
35599ECA020    ,1Y,ｶﾊﾞｰﾃﾞｨﾃﾝﾄｽﾌﾟﾘﾝｸﾞ             ,600,1,1,2,00
35704ECA020    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾗｲﾌﾞ              ",3,1,1,1,00
35705ECA020    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾘﾌﾞﾝ              ",3,1,1,1,00
35705ECA060    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾘﾌﾞﾝ              ",3,1,1,1,00
35771ECB010    ,1Y,ｼｬﾌﾄｱｳﾄﾌﾟｯﾄ                   ,4,1,6,4,00
35771ECE010    ,1Y,ｼｬﾌﾄｱｳﾄﾌﾟｯﾄ                   ,6,1,6,4,00
35782ECA050    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾗｲﾌﾞ              ",3,1,1,1,00
35782ECB010    ,1Y,ﾅｲｾｲｶｺｳﾅｲｼﾞﾘｽﾄ ｼｮｳﾘｬｸﾋﾝﾊﾞﾝ    ,3,1,1,1,01
35782ECB010    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾗｲﾌﾞ              ",3,1,1,1,00
35782ECE010    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾗｲﾌﾞ              ",3,1,1,1,00
35782ECE020    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾗｲﾌﾞ              ",3,1,1,1,00
35782ECE030    ,1Y,"ｷﾞﾔ, ｶｳﾝﾀ ﾄﾞﾗｲﾌﾞ              ",3,1,1,1,00
35847ECB010    ,1Y,ﾁｭｰﾌﾞT/Aﾙｰﾌﾞｱﾌﾟﾗｲ             ,80,1,1,1,00
35847ECB020    ,1Y,ﾁｭｰﾌﾞT/Aﾙｰﾌﾞｱﾌﾟﾗｲ             ,70,1,1,1,00
35847ECE010    ,1Y,ﾁｭｰﾌﾞT/Aﾙｰﾌﾞｱﾌﾟﾗｲ             ,40,1,1,1,00
35847ECE020    ,1Y,ﾁｭｰﾌﾞT/Aﾙｰﾌﾞｱﾌﾟﾗｲ             ,60,1,1,1,00
35882ECB010    ,1Y,ﾁｭｰﾌﾞﾃﾞﾌｷﾞﾔﾘｭｰﾌﾞｱﾌﾟﾗｲ         ,50,1,1,1,00
36108ECB010    ,1Y,"ｼﾔﾌﾄ,O/Pﾄﾞﾗｲﾌﾞ                ",150,1,1,1,00
39171ECA040    ,1Y,"COVER, MOTOR HOUSING          ",36,1,24,18,00
39171ECA060    ,1Y,"ｶﾊﾞｰ,ﾓｰﾀｰ                     ",36,1,24,18,00
39171ECB010    ,1Y,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ               ",16,1,24,18,00
39171ECE010    ,1Y,"ｶﾊﾞｰ,ﾓｰﾀﾊｳｼﾞﾝｸﾞ               ",20,1,24,18,00
41221ECA020    ,1Y,ｷﾞﾔ ﾃﾞﾌﾘﾝｸﾞ                   ,3,1,1,1,00
41221ECA050    ,1Y,ｷﾞﾔ ﾃﾞﾌﾘﾝｸﾞ                   ,3,1,1,1,00
41221ECB010    ,1Y,ｷﾞﾔ ﾃﾞﾌﾘﾝｸﾞ                   ,3,1,1,1,00
41221ECE010    ,1Y,ｷﾞﾔ ﾃﾞﾌﾘﾝｸﾞ                   ,3,1,1,1,00
41310ECA020    ,1Y,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,1,1,3,01
41310ECA030    ,1Y,ﾃﾞﾌｹｰｽS/A                     ,2,1,1,3,01
41310ECB010    ,1Y,ﾃﾞﾌｹｰｽS/A                     ,2,1,4,4,00
41310ECE010    ,1Y,ｷﾞﾔﾃﾞﾌﾘﾝｸﾞ                    ,2,1,4,4,00
5040056001E    ,1Y,ｸﾗﾝﾌﾟﾁﾕ-ﾌﾞ                    ,600,1,1,1,00
82125ECA010    ,1Y,ﾜｲﾔ- T/M                      ,40,1,1,1,00
82125ECA020    ,1Y,ﾜｲﾔ- T/M                      ,6,1,6,2,00
